restricted_product_category,prohibited_policy_text,policy_page,item_type,asin,screenshot,listing_url
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B07VQLV97R,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07VQLV97R-2020-05-14-11_58_29.png,https://www.amazon.ca/KUNHEWUHUA-Pressing-Machine-Automatic-Nutramin/dp/B07VQLV97R
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B081YJ83NQ,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B081YJ83NQ-2020-05-29-11_37_55.png,https://www.amazon.ca/KUNHEWUHUA-Pressing-Machine-Automatic-Nutramin/dp/B081YJ83NQ
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B088KHJTZ7,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B088KHJTZ7-2020-05-29-11_43_29.png,https://www.amazon.ca/KUNHEWUHUA-TDP-1Tablet-Pressing-Automatic-Nutramin/dp/B088KHJTZ7
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B088N9ZJV3,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B088N9ZJV3-2020-05-29-11_45_47.png,https://www.amazon.ca/KUNHEWUHUA-TDP-1-5-Pressing-Machine-Automatic/dp/B088N9ZJV3
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B0897H8PC8,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B0897H8PC8-2020-05-29-11_45_28.png,https://www.amazon.ca/KUNHEWUHUA-Electric-Pressing-Machine-Automatic/dp/B0897H8PC8
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B0897TF23C,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B0897TF23C-2020-05-29-11_45_08.png,https://www.amazon.ca/KUNHEWUHUA-Pressing-Machine-Automatic-3000-3600/dp/B0897TF23C
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B089CP5GY8,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B089CP5GY8-2020-05-29-11_44_51.png,https://www.amazon.ca/dp/B089CP5GY8/
Medical devices and accessories,"Listings claiming that a product is intended to be used for the diagnosis, cure, mitigation, treatment, or prevention of disease in humans unless the claim is cleared or approved by the FDA, or do not require such approval (e.g., most Class 1 devices) such as: Rife Machines",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Medical-devices-and-accessories-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_51_30.png,Rife machine,B00RNG7E7G,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B00RNG7E7G-2020-02-04-13_21_00.png,https://www.amazon.com/BCX-Ultra-Lite-High-Powered/dp/B00RNG7E7G
Offensive and Controversial Materials,"Products that promote, incite, or glorify hate or violence towards any person or group. This includes products that contain violent or offensive material that has no historical significance",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Offensive-and-Controversial-Materials-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_51_58.png,Indentity Evropa patch,B07WXFLLXN,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07WXFLLXN-2020-02-07-17_57_00.png,https://www.amazon.com/Embroidered-Applique-Identity-American-Certificate/dp/B07WXFLLXN
Offensive and Controversial Materials,"Products that promote, incite, or glorify hate or violence towards any person or group. This includes products that contain violent or offensive material that has no historical significance",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Offensive-and-Controversial-Materials-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_51_58.png,Volksfront flag,B07XW7FKSK,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07XW7FKSK-2020-02-10-12_21_00.png,https://www.amazon.com/magFlags-Vectorized-Volksfront-Landscape-14-5sqft/dp/B07XW7FKSK
